radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,404,78,4101,20314,0,77.42408752441399,23.284835815429997,1000,1,1,1435795897,1435795897,0
GSM,404,78,4105,10294,0,77.34992980957,23.275222778320003,1000,1,1,1435796227,1435796227,0
GSM,404,78,4105,14030,0,77.35130310058601,23.275222778320003,1000,1,1,1435795897,1435795897,0
GSM,404,78,4105,11951,0,77.396621704102,23.287582397460998,1000,1,1,1435795897,1435795897,0
GSM,404,78,4105,10492,0,77.355422973633,23.276596069335998,1000,1,1,1435795897,1435795897,0
GSM,404,78,4107,21329,0,77.444686889648,23.309555053710998,1000,1,1,1435796227,1435796227,0
GSM,404,78,4109,10333,0,77.38014221191399,23.216171264648,1000,1,1,1443061399,1443061399,0
GSM,404,78,4109,30333,0,77.374649047852,23.207931518555004,1000,1,1,1443061399,1443061399,0
GSM,404,78,4108,21368,0,77.268905639648,23.265609741210998,1000,1,1,1435796239,1435796239,0
GSM,404,78,4109,12639,0,77.40211486816399,23.224411010742003,1000,1,1,1442545562,1442545562,0
GSM,404,78,4111,31807,0,77.433700561523,23.299942016602,1000,1,1,1435795897,1435795897,0
GSM,404,78,4109,32639,0,77.400741577148,23.224411010742003,1000,1,1,1442545562,1442545562,0
GSM,404,78,1102,62702,0,77.43782043457,23.202438354492003,1000,1,1,1434417409,1434417409,0
GSM,404,78,1102,19591,0,77.45018005371101,23.243637084960998,1000,1,1,1443007758,1443007758,0
GSM,404,78,1150,58933,0,77.38014221191399,23.214797973632997,1000,1,1,1439031434,1439031434,0
GSM,404,78,1153,16284,0,77.465286254883,23.232650756835998,1000,1,1,1450840776,1450840776,0
GSM,404,78,4101,20489,0,77.41310119628899,23.265609741210998,1000,1,1,1435796227,1435796227,0
GSM,404,78,4101,30300,0,77.43919372558601,23.234024047852,1000,1,1,1442545562,1442545562,0
GSM,404,78,4101,14471,0,77.430953979492,23.294448852539002,1000,1,1,1435796227,1435796227,0
GSM,404,78,4101,34309,0,77.41310119628899,23.265609741210998,1000,1,1,1435796224,1435796224,0
GSM,404,78,4101,10300,0,77.440567016602,23.238143920898,1000,1,1,1442545562,1442545562,0
GSM,404,78,4105,34030,0,77.34718322753899,23.275222778320003,1000,1,1,1435796224,1435796224,0
GSM,404,78,4108,31368,0,77.253799438477,23.261489868164002,1000,1,1,1435795901,1435795901,0
GSM,404,78,4107,31330,0,77.45704650878899,23.316421508789002,1000,1,1,1435796209,1435796209,0
GSM,404,78,4108,21424,0,77.388381958008,23.225784301757997,1000,1,1,1443061399,1443061399,0
GSM,404,78,4108,10509,0,77.374649047852,23.207931518555004,1000,1,1,1442545562,1442545562,0
