,radio,lon,lat,range,TowerID
230,UMTS,77.423401,23.252563,1000,40478-33031-50594049
231,UMTS,77.425461,23.25531,1000,40478-33031-19879227
232,UMTS,77.40378199999998,23.265512,1000,40467-61821-1214000
233,UMTS,77.40348815918,23.265609741210998,1000,40467-61821-50594049
234,UMTS,77.41310119628899,23.185958862305004,1000,40458-5001-19727974
235,UMTS,77.433700561523,23.231277465820003,1000,40458-1508-19727798
236,UMTS,77.429581,23.24707,1000,40478-33031-19878985
237,GSM,77.441254,23.215485,1000,40493-7195-38242
238,UMTS,77.413788,23.168106,1000,40467-61821-1223469
239,UMTS,77.40211486816399,23.228530883789002,1000,40458-5001-19727589
240,GSM,77.40211486816399,23.228530883789002,1000,40458-1508-1259
241,UMTS,77.461496,23.259512,1000,40478-33031-19879256
242,GSM,77.448349,23.255081,1000,40493-7193-58714
243,GSM,77.473526000977,23.228530883789002,1000,40478-35000-11332
244,UMTS,77.407455,23.223953,1000,40467-61821-1223539
245,GSM,77.4337,23.297196,1451,40478-35500-11171
246,GSM,77.383804,23.263779,1000,40493-7207-58793
247,GSM,77.45910699999997,23.291359,1627,40493-7193-58051
248,GSM,77.396621704102,23.218917846680004,1000,40493-7191-24643
249,UMTS,77.455673217773,23.214797973632997,1000,40458-5001-19727537
250,GSM,77.43690500000002,23.235626,1000,40493-39045-58473
251,GSM,77.424545,23.248672,1000,40493-7192-51673
252,GSM,77.42797900000002,23.255768,1000,40493-7192-37991
253,GSM,77.489319,23.226128,1000,40493-7193-38362
254,UMTS,77.476061,23.23545,1000,40467-61821-1223161
255,UMTS,77.476272583008,23.235397338867003,1000,40467-61821-1223160
256,UMTS,77.436447143555,23.239517211914002,1000,40478-33031-19878635
257,GSM,77.39524841308601,23.266983032227,1000,40493-7207-39971
258,UMTS,77.422371,23.227158,1000,40478-33031-19880097
259,UMTS,77.432327270508,23.249130249023,1000,40458-5001-19728837
260,UMTS,77.41584777832,23.251876831055004,1000,40458-5001-19727987
261,GSM,77.459335,23.217087,1000,40467-61302-34272
262,GSM,77.460342,23.218918,1096,40467-61302-34271
263,UMTS,77.436447143555,23.212051391602,1000,40478-33031-19878836
264,GSM,77.486135,23.254873,1000,40467-61302-39491
265,UMTS,77.41722106933601,23.187332153320003,1000,40478-33031-19878555
266,UMTS,77.41310119628899,23.225784301757997,1000,40478-33031-19879126
267,GSM,77.400741577148,23.236770629882997,1000,40478-35000-10063
268,UMTS,77.422714233398,23.227157592773,1000,40478-33031-19880096
269,UMTS,77.387924,23.266983,1000,40478-33031-19881785
270,GSM,77.451859,23.193588,1000,40467-61302-33132
271,GSM,77.41722106933601,23.207931518555004,1000,40478-35000-10843
272,GSM,77.41722106933601,23.207931518555004,1000,40478-35000-12071
273,UMTS,77.467003,23.252907,1000,40467-61821-1213879
274,UMTS,77.430267,23.260803,1000,40478-33031-19879456
275,UMTS,77.391281,23.219223,1000,40467-61821-1213899
276,UMTS,77.43507385253899,23.236770629882997,1000,40478-33031-19878636
277,UMTS,77.42408752441399,23.236770629882997,1000,40458-5001-19727347
278,UMTS,77.366409301758,23.275222778320003,1000,40458-5001-19727399
279,UMTS,77.47215270996101,23.258743286132997,1000,40458-5001-50594049
280,UMTS,77.47215270996101,23.258743286132997,1000,40458-5001-19728588
281,UMTS,77.46116638183601,23.251876831055004,1000,40467-61821-1213881
282,GSM,77.462375,23.259348000000006,1000,40493-7193-58222
283,GSM,77.455215,23.275223,1000,40493-7193-28067
284,UMTS,77.487063,23.229119,1000,40458-5001-19728928
285,UMTS,77.453751,23.186508,1000,40467-61821-1213890
286,UMTS,77.44743347168,23.194198608398,1000,40458-5001-19727729
287,GSM,77.39112854003899,23.239517211914002,1000,40458-5001-1351
288,GSM,77.39112854003899,23.239517211914002,1000,40458-5001-1251
289,GSM,77.41035500000002,23.246384,1000,40478-35500-11593
290,GSM,77.407951,23.243637,1000,40478-35500-10812
291,UMTS,77.465286254883,23.261489868164002,1000,40458-5001-19788627
292,GSM,77.404861450195,23.251876831055004,1000,40493-7192-24062
293,GSM,77.404861450195,23.251876831055004,1000,40493-7192-36171
294,GSM,77.40898100000003,23.250046,1000,40478-35500-10092
295,GSM,77.44811999999997,23.218231,1000,40493-7195-38154
296,GSM,77.445888,23.215485,1000,40493-7195-38153
297,UMTS,77.47215270996101,23.192825317382997,1000,40478-33031-19878716
298,UMTS,77.433700561523,23.184585571289002,1000,40478-33031-19880035
299,UMTS,77.400741577148,23.213424682617003,1000,40467-61821-1212819
300,UMTS,77.397603,23.207147,4177,40478-33031-19878896
301,UMTS,77.431297,23.297539,1000,40478-33031-19878525
302,GSM,77.41941800000002,23.294724,1000,40478-35500-10683
303,GSM,77.41310119628899,23.198318481444996,1000,40493-7191-58063
304,UMTS,77.43507385253899,23.231277465820003,1000,40478-33031-19879046
305,UMTS,77.43507385253899,23.231277465820003,1000,40478-33031-19880226
306,GSM,77.433014,23.233681,1000,40493-39045-28378
307,GSM,77.435172,23.189588,1000,40493-7195-24652
308,UMTS,77.455215,23.278427,1000,40478-33031-19881756
309,GSM,77.47023,23.254349,1000,40493-7193-28326
310,GSM,77.468621,23.273261,2540,40493-7193-38021
311,UMTS,77.476272583008,23.253250122070003,1000,40458-5001-19788639
312,GSM,77.404861450195,23.251876831055004,1000,40493-7192-24063
313,UMTS,77.42820739746101,23.235397338867003,1000,40458-5001-19727739
314,UMTS,77.429581,23.25325,1000,40467-61821-1223419
315,UMTS,77.45704599999998,23.190765,1000,40467-61821-1213980
316,GSM,77.419453,23.276081,1000,40493-7192-38122
317,GSM,77.41914399999997,23.276321,1000,40493-7192-51631
318,GSM,77.380142,23.297882,1145,40493-7207-54231
319,GSM,77.368698,23.304062,1208,40493-7207-24507
320,GSM,77.390211,23.315507,3617,40493-4206-25877
321,GSM,77.406921,23.318481,1000,40493-4206-13502
322,GSM,77.436104,23.310929,2738,40493-4206-24767
323,UMTS,77.452926635742,23.277969360352,1000,40458-5001-19728997
324,GSM,77.452926635742,23.277969360352,1000,40458-1013-1599
325,GSM,77.525408,23.145678,5999,40493-3104-57433
326,UMTS,77.422371,23.251877,1000,40467-61821-1214009
327,GSM,77.436722,23.20134,1000,40493-7195-29987
328,GSM,77.41928100000001,23.277283,1000,40478-35500-11151
329,GSM,77.397994995117,23.218917846680004,1000,40493-7191-24642
330,GSM,77.43782043457,23.235397338867003,1000,40458-1508-1699
331,GSM,77.396621704102,23.232650756835998,1000,40493-7191-36581
332,UMTS,77.396621704102,23.232650756835998,1000,40478-33031-19878775
333,UMTS,77.396621704102,23.232650756835998,1000,40478-33031-19879377
334,GSM,77.41832,23.199966,1000,40493-7191-38382
335,UMTS,77.39387512207,23.261489868164002,1000,40458-5001-19727378
336,GSM,77.411727905273,23.224411010742003,1000,40458-1508-2229
337,UMTS,77.411727905273,23.224411010742003,1000,40458-5001-19728559
338,GSM,77.418594360352,23.188705444335998,1000,40458-1012-1637
339,GSM,77.418594360352,23.188705444335998,1000,40458-1012-1328
340,GSM,77.419967651367,23.264236450194996,1000,40467-61302-33471
341,UMTS,77.399368286133,23.232650756835998,1000,40493-7191-2964101
342,UMTS,77.43919372558601,23.231277465820003,1000,40478-33031-2978024
343,UMTS,77.43919372558601,23.231277465820003,1000,40478-33031-2978035
344,UMTS,77.451553344727,23.209304809570003,1000,40467-61821-2980651
345,UMTS,77.462539672852,23.217544555664002,1000,40458-5001-2994744
346,UMTS,77.421340942383,23.258743286132997,1000,40478-33031-2995511
347,UMTS,77.418594360352,23.162612915039002,1000,40458-1012-3011263
348,UMTS,77.41722106933601,23.163986206055004,1000,40458-1012-3011270
349,UMTS,77.469406,23.252335,1000,40478-33031-3014709
350,UMTS,77.46940612793,23.251876831055004,1000,40478-33031-3014741
351,UMTS,77.426834106445,23.245010375977,1000,40458-5001-19727708
352,UMTS,77.42775,23.24501,1000,40458-5001-19728129
353,UMTS,77.400741577148,23.238143920898,1000,40458-5001-19727587
354,UMTS,77.41355899999998,23.184586,1000,40467-16142-1223631
355,UMTS,77.432327270508,23.187332153320003,1000,40478-33031-19879187
356,GSM,77.365036,23.276047,1000,40467-61301-43742
357,UMTS,77.49137878418,23.249130249023,1000,40467-61821-1213970
358,UMTS,77.42546081543,23.253250122070003,1000,40467-61821-1223420
359,UMTS,77.419967651367,23.254623413085998,1000,40467-61821-1212530
360,UMTS,77.413788,23.259087,1000,40467-61821-1223439
361,UMTS,77.408981323242,23.264236450194996,1000,40467-61821-1213169
362,UMTS,77.408981323242,23.268356323242003,1000,40467-61821-1213021
363,UMTS,77.410354614258,23.269729614257997,1000,40467-61821-1213020
364,UMTS,77.410354614258,23.269729614257997,1000,40467-61821-1212890
365,UMTS,77.413445,23.276596,1000,40467-61821-1212889
366,UMTS,77.385635375977,23.268356323242003,1000,40458-5001-19728017
367,GSM,77.419967651367,23.255996704102,1000,40478-33031-21497
368,GSM,77.419967651367,23.255996704102,1000,40478-33031-21498
369,UMTS,77.399368286133,23.299942016602,1000,40458-5001-19727497
370,GSM,77.45210300000002,23.206284,1000,40493-7195-57623
371,GSM,77.41310119628899,23.247756958007997,1000,40493-7192-26029
372,UMTS,77.39524841308601,23.220291137694996,1000,40478-33031-19878745
373,GSM,77.39502,23.220177,1000,40478-38004-12482
374,UMTS,77.41584777832,23.220291137694996,1000,40458-5001-19728039
375,UMTS,77.338943481445,23.266983032227,1000,40478-33031-19878626
376,UMTS,77.473526000977,23.157119750977,1000,40467-61821-1213250
377,UMTS,77.391472,23.261318,1000,40467-61821-1213820
378,UMTS,77.454299926758,23.224411010742003,1000,40467-61821-1223591
379,UMTS,77.44606018066399,23.203811645507997,1000,40467-61821-1223590
380,UMTS,77.452926635742,23.228530883789002,1000,40467-61821-1223679
381,UMTS,77.463912963867,23.217544555664002,1000,40467-61821-1223589
382,UMTS,77.38151550293,23.262863159180004,1000,40493-903-1566121
383,UMTS,77.45704650878899,23.255996704102,1000,40493-903-1531514
384,GSM,77.432327,23.188019,1000,40478-38004-10543
385,UMTS,77.424545,23.240433,1000,40478-33081-20206995
386,UMTS,77.425461,23.239517000000006,1000,40478-33081-20211005
387,UMTS,77.459518,23.276596,1000,40458-5001-19727929
388,GSM,77.446453,23.268356,1000,40478-35501-12131
389,GSM,77.415848,23.277283,1000,40478-35500-10532
390,GSM,77.440567,23.25325,1000,40493-7192-62392
391,GSM,77.462997,23.207016,1022,40478-38004-10913
392,UMTS,77.433700561523,23.207931518555004,1000,40458-5001-19727359
393,UMTS,77.463181,23.271286,1000,40478-33031-19883647
394,GSM,77.383426,23.270864000000003,1000,40478-35500-10071
395,GSM,77.391129,23.26355,1000,40478-35500-10863
396,UMTS,77.406235,23.223953,1000,40478-33081-20207117
397,GSM,77.37808199999998,23.262177,1000,40493-7207-23866
398,UMTS,77.433243,23.247299,1000,40478-33031-19884117
399,UMTS,77.432327,23.2481,1000,40478-33031-19881916
400,UMTS,77.463089,23.255447,1000,40478-33031-19881937
401,UMTS,77.46734599999998,23.25737,1000,40478-33031-19879215
402,UMTS,77.436447,23.231003,1000,40478-33081-20206915
403,UMTS,77.367325,23.275681,1000,40478-33031-19878955
404,UMTS,77.43782,23.228335,1000,40458-5001-19727677
405,UMTS,77.436447143555,23.228530883789002,1000,40458-5001-19727459
406,UMTS,77.419967651367,23.184585571289002,1000,40467-61821-1223629
407,GSM,77.454299926758,23.277969360352,1000,40458-1013-2667
408,GSM,77.454299926758,23.277969360352,1000,40458-1013-1567
409,GSM,77.456017,23.275223,1000,40458-1013-62237
410,GSM,77.454299926758,23.277969360352,1000,40458-1013-1596
411,UMTS,77.44811999999997,23.229218,1000,40467-61821-1213060
412,UMTS,77.441254,23.232651,1000,40467-61821-1213061
413,GSM,77.382888793945,23.224411010742003,1000,40493-7191-38423
414,GSM,77.382888793945,23.224411010742003,1000,40493-7191-27938
415,GSM,77.382339,23.223587,1000,40493-1150-58932
416,UMTS,77.440567016602,23.232650756835998,1000,40458-5001-19727679
417,GSM,77.502365112305,23.148880004882997,1000,40458-3091-9002
